name hmc0 hmc1 hmc2 hmc3 hmc_ndclover hmc_nocsw_ndclover hmc_nosplit_ndclover hmc_nosplit_nocsw_ndclover hmc_cloverdet hmc_tmcloverdet hmc_check_ndclover_tmcloverdet hmc_check_ndclover_nocsw_tmcloverdet hmc_tmcloverdetratio
5.1.6_mpi 0.024 0.044 0.3 0.186 NA NA NA NA NA NA NA NA NA
5.1.6_serial 0.058 0.13 0.96 0.72 NA NA NA NA NA NA NA NA NA
hybrid 0.028 0.0375 0.16 0.164 0.3 0.28 0.28 0.28 0.05 0.0322 0.04 0.0322 0.056
hybrid_hs 0.028 0.0375 0.16 0.164 0.3 0.28 0.28 0.28 0.05 0.0322 0.04 0.0322 0.056
hybrid_gcc 0.015 0.028 0.164 0.164 0.3 0.28 0.28 0.28 0.065 0.03 0.03 0.03 0.057
openmp 0.019 0.051 0.2 0.16 0.3 0.3 0.3 0.3 0.068 0.055 0.055 0.055 0.054
openmp_hs 0.019 0.051 0.2 0.16 0.3 0.3 0.3 0.3 0.068 0.055 0.055 0.055 0.054
openmp_gcc 0.019 0.035 0.22 0.22 0.3 0.3 0.3 0.3 0.094 0.055 0.055 0.055 0.051
serial 0.069 0.13 0.95 0.9 1.1 1.1 1.4 1.4 0.24 0.22 0.22 0.22 0.2
serial_hs 0.069 0.13 0.95 0.9 1.1 1.1 1.4 1.4 0.24 0.22 0.22 0.22 0.2
serial_gcc 0.069 0.13 0.95 0.9 1.1 1.1 1.4 1.4 0.24 0.22 0.22 0.22 0.2
mpi 0.029 0.033 0.2 0.122 0.25 0.25 0.25 0.25 0.059 0.0358 0.0358 0.0358 0.05
mpi_hs 0.029 0.033 0.2 0.122 0.25 0.25 0.25 0.25 0.059 0.0358 0.0358 0.0358 0.05
4D_MPI_hs 0.029 0.033 0.2 0.122 0.25 0.25 0.25 0.25 0.059 0.0358 0.0358 0.0358 0.05
mpi_gcc 0.029 0.033 0.22 0.122 0.25 0.25 0.25 0.25 0.059 0.0358 0.0358 0.0358 0.05
