 hmc0 hmc1 hmc2 hmc3 hmc_ndclover hmc_nosplit_ndclover hmc_nocsw_ndclover hmc_nosplit_nocsw_ndclover hmc_cloverdet hmc_tmcloverdet hmc_check_ndclover_tmcloverdet hmc_check_ndclover_nocsw_tmcloverdet hmc_tmcloverdetratio
mpi_hs 0.0134652774622092 0.0255672501397165 0.181054101878598 0.0890444527791805 0.174811606019594 0.151183422199778 0.176124751772548 0.151507465905801 0.0426226118237215 0.0411795681143319 0.0421068402450931 0.0366226418913914 0.0560728235161431
openmp 0.0128328880584453 0.0241058224421776 0.153603746692253 0.115622195737804 0.215123992021008 0.189771010537656 0.221589275224725 0.197481351109316 0.0544645216308117 0.0324424636568697 0.0548301330505336 0.0448961486381847 0.0471595288691378
serial 0.0361803061912938 0.0699667884119449 0.406389395145272 0.303500171615662 0.685059288152712 0.65756774302259 0.72887716338417 0.653253450964549 0.169094532195401 0.105491375207891 0.192047045776521 0.163055300306366 0.146564960960172
4D_MPI_hs 0.0227176542430058 0.0403235238292428 0.109389686927246 0.134352536804363 0.158006481099552 0.133091190947042 0.159838444992088 0.13325897347406 0.0445343092010908 0.0381450775073225 0.039379805979194 0.0335632775174225 0.0347486024664175
hybrid_hs 0.011670397623809 0.0239018085422348 0.219085929525637 0.0913407494966838 0.225345833260067 0.185843076648823 0.211657992344208 0.186819341625425 0.0435329377470289 0.0263148554482712 0.0432783665656668 0.0361047445914554 0.0380122810389523
mpi NA NA NA NA NA NA NA NA NA NA NA NA NA
openmp_hs NA NA NA NA NA NA NA NA NA NA NA NA NA
serial_hs NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_mpi NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_serial NA NA NA NA NA NA NA NA NA NA NA NA NA
