 hmc5 hmc6 hmc0 hmc1 hmc2 hmc3 hmc_ndclover hmc_nosplit_ndclover hmc_nocsw_ndclover hmc_nosplit_nocsw_ndclover hmc_cloverdet hmc_tmcloverdet hmc_check_ndclover_tmcloverdet hmc_check_ndclover_nocsw_tmcloverdet hmc_tmcloverdetratio
openmp 0.252792733642073 0.251236142932323 NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs 0.198541674490405 0.206952346802091 NA NA NA NA NA NA NA NA NA NA NA NA NA
2D_MPI_hs 0.141637739925622 0.240809104339894 NA NA NA NA NA NA NA NA NA NA NA NA NA
1D_MPI_hs 0.218935007834263 0.139105170855699 NA NA NA NA NA NA NA NA NA NA NA NA NA
MPI_8 0.295041093979581 0.297942487720591 NA NA NA NA NA NA NA NA NA NA NA NA NA
MPI_16 0.160781553008455 0.161961338606462 NA NA NA NA NA NA NA NA NA NA NA NA NA
MPI_32 0.104023969547065 0.109200082686033 NA NA NA NA NA NA NA NA NA NA NA NA NA
MPI_64 0.119616033333333 0.124067936378627 NA NA NA NA NA NA NA NA NA NA NA NA NA
serial NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_mpi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_serial NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
mpi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
mpi_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
openmp_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
serial_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
