 mpihmc1 mpihmc2 mpihmc3 mpihmc4 hmc0 hmc1 hmc2 hmc3 hmc_ndclover hmc_nosplit_ndclover hmc_nocsw_ndclover hmc_nosplit_nocsw_ndclover hmc_cloverdet hmc_tmcloverdet hmc_check_ndclover_tmcloverdet hmc_check_ndclover_nocsw_tmcloverdet hmc_tmcloverdetratio
openmp 0.26 0.26 0.6087331264 0.6956176952 NA NA NA NA NA NA NA NA NA NA NA NA NA
serial NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_16 0.2 0.21 0.3380309198 0.4132751286 NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_32 0.2 0.21 0.3380309198 0.4132751286 NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_64 0.2 0.21 0.3380309198 0.4132751286 NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_128 NA NA 0.3380309198 0.4132751286 NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_blocking_128 NA NA 0.346868263590267 0.404525021542207 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_persistent_128 NA NA 0.346868263590267 0.404525021542207 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_256 NA NA 0.70 0.60 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_8 0.3 0.5 0.9331015901 1.1063905487 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_16 0.16 0.16 0.3483297437 0.4248309285 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_32 0.11 0.11 0.2240306504 0.2803284943 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_64 0.12 0.12 0.2242309067 0.2542267803 NA NA NA NA NA NA NA NA NA NA NA NA NA
2D_MPI_hs_16 0.15 0.15 0.3422235928 0.4218149427 NA NA NA NA NA NA NA NA NA NA NA NA NA
1D_MPI_hs_16 0.22 0.22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_mpi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_serial NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
mpi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
mpi_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
openmp_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
serial_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
