 mpihmc1 mpihmc2 mpihmc3 mpihmc4 mpihmc5 mpihmc6 hmc0 hmc1 hmc2 hmc3 hmc_ndclover hmc_nosplit_ndclover hmc_nocsw_ndclover hmc_nosplit_nocsw_ndclover hmc_cloverdet hmc_tmcloverdet hmc_check_ndclover_tmcloverdet hmc_check_ndclover_nocsw_tmcloverdet hmc_tmcloverdetratio
openmp NA NA 0.837791024137803 0.70731711757457 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
serial NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_16 NA NA 0.739015564883726 0.416457438877722 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_32 NA NA 0.336471558503113 0.28617925139443 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_64 NA NA 0.311219096644142 0.253705707169625 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_128 NA NA 0.346868263590267 0.404525021542207 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_blocking_128 NA NA 0.346868263590267 0.404525021542207 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_persistent_128 NA NA 0.346868263590267 0.404525021542207 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_256 NA NA 0.555404764903248 0.521483594173819 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_8 NA NA 1.17289291127026 0.819108611851852 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_16 NA NA 0.530613599566334 0.426356948852368 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_32 NA NA 0.443828664599566 0.375812218694761 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_64 NA NA 0.241098269172029 0.271169222841857 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2D_MPI_hs_16 NA NA 0.491889974565913 0.420146303969994 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1D_MPI_hs_16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid_2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid_hs_2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_mpi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_serial NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
openmp_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
serial_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
