 mpihmc1 mpihmc2 mpihmc3 mpihmc4 mpihmc5 mpihmc6 mpihmc7 mpihmc8 hmc0 hmc_repro_0 hmc1 hmc_repro_1 hmc2 hmc_repro_2 hmc3 hmc_ndclover hmc_nosplit_ndclover hmc_nocsw_ndclover hmc_nosplit_nocsw_ndclover hmc_cloverdet hmc_tmcloverdet hmc_check_ndclover_tmcloverdet hmc_check_ndclover_nocsw_tmcloverdet hmc_tmcloverdetratio
openmp NA NA 0.837791024137803 0.70731711757457 NA NA 1.30932326518924 1.52947044497305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
serial NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_16 NA NA 0.739015564883726 0.416457438877722 NA NA 0.564358526948951 0.503925364908772 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_32 NA NA 0.336471558503113 0.28617925139443 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_64 NA NA 0.311219096644142 0.253705707169625 NA NA 0.290539576541651 0.203411285154359 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_128 NA NA 0.346868263590267 0.404525021542207 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_persistent_128 NA NA 0.309135081584024 0.269369359500409 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_blocking_128 NA NA 0.347274990530735 0.360201124032602 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_256 NA NA 0.559581348360118 0.520933677319758 NA NA 0.336059286713607 0.404415010474269 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_8 NA NA 1.17289291127026 0.819108611851852 NA NA 1.33267065087526 1.09279924093846 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_16 NA NA 0.530613599566334 0.426356948852368 NA NA 0.701912049807075 0.506837835528575 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_32 NA NA 0.443828664599566 0.375812218694761 NA NA 0.327717654644687 0.298011975747383 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_64 NA NA 0.241098269172029 0.271169222841857 NA NA 0.258084713565183 0.203428328674458 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2D_MPI_hs_16 NA NA 0.491889974565913 0.420146303969994 NA NA 0.560469975128449 0.683855268688175 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1D_MPI_hs_16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid_2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid_hs_2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_mpi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_serial NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
openmp_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
serial_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
BGQ_4D_SPI_hybrid_hs_32 NA NA 0.954571155076236 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
BGQ_4D_SPI_hybrid_hs_128 NA NA 0.899665486109715 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1D_hybrid_hs_2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
