 mpihmc1 mpihmc2 mpihmc3 mpihmc4 mpihmc5 mpihmc6 mpihmc7 mpihmc8 hmc0 hmc1 hmc2 hmc3 hmc_ndclover hmc_nosplit_ndclover hmc_nocsw_ndclover hmc_nosplit_nocsw_ndclover hmc_cloverdet hmc_tmcloverdet hmc_check_ndclover_tmcloverdet hmc_check_ndclover_nocsw_tmcloverdet hmc_tmcloverdetratio
openmp NA NA NA NA NA NA 1.4 1.3 NA NA NA NA NA NA NA NA NA NA NA NA NA
serial NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_16 NA NA NA NA NA NA 0.8 0.75 NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_32 NA NA NA NA NA NA 0.6 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_64 NA NA NA NA NA NA 0.6 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_128 NA NA NA NA NA NA 0.8 0.8 NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_blocking_128 NA NA NA NA NA NA 0.8 0.8 NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_persistent_128 NA NA NA NA NA NA 0.8 0.8 NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_256 NA NA NA NA NA NA 1.2 1.2 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_8 NA NA NA NA NA NA 1.7 1.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_16 NA NA NA NA NA NA 0.8 0.8 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_32 NA NA NA NA NA NA 0.8 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_64 NA NA NA NA NA NA 0.6 0.55 NA NA NA NA NA NA NA NA NA NA NA NA NA
2D_MPI_hs_16 NA NA NA NA NA NA 0.8 0.8 NA NA NA NA NA NA NA NA NA NA NA NA NA
1D_MPI_hs_16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid_2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid_hs_2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_mpi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_serial NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
openmp_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
serial_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
