 hmc5 hmc6 hmc0 hmc1 hmc2 hmc3 hmc_ndclover hmc_nosplit_ndclover hmc_nocsw_ndclover hmc_nosplit_nocsw_ndclover hmc_cloverdet hmc_tmcloverdet hmc_check_ndclover_tmcloverdet hmc_check_ndclover_nocsw_tmcloverdet hmc_tmcloverdetratio
openmp 0.256116102236113 0.255623610953309 NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_16 0.198345170166184 0.20581910074317 NA NA NA NA NA NA NA NA NA NA NA NA NA
2D_MPI_hs_16 0.141243185094428 0.141677906585248 NA NA NA NA NA NA NA NA NA NA NA NA NA
1D_MPI_hs_16 0.13729760475176 0.214825738902652 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_8 0.295365556734294 0.489246245085424 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_16 0.159881336469359 0.162168275349964 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_32 0.104131436060304 0.107016009498699 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_64 0.11720547020194 0.0864597147985891 NA NA NA NA NA NA NA NA NA NA NA NA NA
serial NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_mpi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_serial NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
mpi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
mpi_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
openmp_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
serial_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
