Nr.           Re            Im
0 -8.0498237594942068e-01 4.0124030177713335e-02
1 8.9554680436986478e-01 3.0516412087405999e-02
2 -9.9862148293074504e-01 5.9065832652400608e-03
3 -3.7289750852706888e-01 5.8323378524292542e-02
4 5.2668357073180816e-01 5.5222335267425170e-02
5 -9.3727257096259931e-01 2.4171829795872572e-02
6 -1.0854842345362564e-01 5.2802790730538909e-02
7 7.3898849755560225e-01 4.5167758219604934e-02
8 9.8435027587083412e-01 1.2917350773410170e-02
9 -6.1187059069978911e-01 5.2097965428301182e-02
10 2.7532328736869793e-01 5.8547478978448524e-02
11 -8.7948381309428980e-01 3.2543250894503703e-02
12 8.2510156326467710e-01 3.8314213443819675e-02
13 1.0010066809936013e+00 3.5474604592717154e-03
14 -4.9700644241861408e-01 5.6068100783274982e-02
15 4.0465462769751975e-01 5.7943750316545181e-02
16 -9.7724033562406631e-01 1.5220456028896639e-02
17 -2.4219974408690223e-01 5.8235859984974513e-02
18 6.3886763259336654e-01 5.0874691260695146e-02
19 9.4897111941638268e-01 2.1979968804936731e-02
20 -7.1520025831925715e-01 4.6709943661113910e-02
21 1.4195220429949712e-01 5.5219212769496408e-02
22 -8.4424001204520260e-01 3.6445359370536959e-02
23 8.6237469635905728e-01 3.4520640231113175e-02
24 -1.0021999947909317e+00 1.1830720641740865e-03
25 -4.3595265719923920e-01 5.7435515650609142e-02
26 4.6674993309202201e-01 5.6807853096312234e-02
27 -9.5954014917590646e-01 1.9755189415207670e-02
28 -1.7542981338554678e-01 5.6709201469379140e-02
29 6.9056393822358386e-01 4.8177323590711925e-02
30 9.6896698805722403e-01 1.7500880709579312e-02
31 -6.6510941459912121e-01 4.9566672956198723e-02
32 2.0887660931437482e-01 5.7654801299867942e-02
33 -9.1054437910475783e-01 2.8443372425322518e-02
34 -4.1281670590976441e-02 3.9456398103215141e-02
35 7.8390667578926088e-01 4.1871655108607728e-02
36 9.9504725803710048e-01 8.2569354440227664e-03
37 -5.5574394408970273e-01 5.4275751587059065e-02
38 3.4072501629170465e-01 5.8562468742323168e-02
39 -9.9028828839648753e-01 1.0595019940118817e-02
40 -3.0818356222707788e-01 5.8644838861796590e-02
41 5.8415133204066572e-01 5.3232920247303112e-02
42 9.2445853359309393e-01 2.6327409441670405e-02
43 -7.6189986476046301e-01 4.3553944893210336e-02
44 7.5247065133304092e-02 4.8517737102180027e-02
45 -8.2510156326467710e-01 3.8314213443819675e-02
46 8.7948381309428980e-01 3.2543250894503703e-02
47 -1.0010066809936013e+00 3.5474604592717154e-03
48 -4.0465462769751975e-01 5.7943750316545181e-02
49 4.9700644241861408e-01 5.6068100783274982e-02
50 -9.4897111941638268e-01 2.1979968804936731e-02
51 -1.4195220429949712e-01 5.5219212769496408e-02
52 7.1520025831925715e-01 4.6709943661113910e-02
53 9.7724033562406631e-01 1.5220456028896639e-02
54 -6.3886763259336654e-01 5.0874691260695146e-02
55 2.4219974408690223e-01 5.8235859984974513e-02
56 -8.9554680436986478e-01 3.0516412087405999e-02
57 8.0498237594942068e-01 4.0124030177713335e-02
58 9.9862148293074504e-01 5.9065832652400608e-03
59 -5.2668357073180816e-01 5.5222335267425170e-02
60 3.7289750852706888e-01 5.8323378524292542e-02
61 -9.8435027587083412e-01 1.2917350773410170e-02
62 -2.7532328736869793e-01 5.8547478978448524e-02
63 6.1187059069978911e-01 5.2097965428301182e-02
64 9.3727257096259931e-01 2.4171829795872572e-02
65 -7.3898849755560225e-01 4.5167758219604934e-02
66 1.0854842345362564e-01 5.2802790730538909e-02
67 -8.6237469635905728e-01 3.4520640231113175e-02
68 8.4424001204520260e-01 3.6445359370536959e-02
69 1.0021999947909317e+00 1.1830720641740865e-03
70 -4.6674993309202201e-01 5.6807853096312234e-02
71 4.3595265719923920e-01 5.7435515650609142e-02
72 -9.6896698805722403e-01 1.7500880709579312e-02
73 -2.0887660931437482e-01 5.7654801299867942e-02
74 6.6510941459912121e-01 4.9566672956198723e-02
75 9.5954014917590646e-01 1.9755189415207670e-02
76 -6.9056393822358386e-01 4.8177323590711925e-02
77 1.7542981338554678e-01 5.6709201469379140e-02
78 -9.2445853359309393e-01 2.6327409441670405e-02
79 -7.5247065133304092e-02 4.8517737102180027e-02
80 7.6189986476046301e-01 4.3553944893210336e-02
81 9.9028828839648753e-01 1.0595019940118817e-02
82 -5.8415133204066572e-01 5.3232920247303112e-02
83 3.0818356222707788e-01 5.8644838861796590e-02
84 -9.9504725803710048e-01 8.2569354440227664e-03
85 -3.4072501629170465e-01 5.8562468742323168e-02
86 5.5574394408970273e-01 5.4275751587059065e-02
87 9.1054437910475783e-01 2.8443372425322518e-02
88 -7.8390667578926088e-01 4.1871655108607728e-02
89 4.1281670590976441e-02 3.9456398103215141e-02
90 4.1281670590976441e-02 -3.9456398103215141e-02
91 -7.8390667578926088e-01 -4.1871655108607728e-02
92 9.1054437910475783e-01 -2.8443372425322518e-02
93 5.5574394408970273e-01 -5.4275751587059065e-02
94 -3.4072501629170465e-01 -5.8562468742323168e-02
95 -9.9504725803710048e-01 -8.2569354440227664e-03
96 3.0818356222707788e-01 -5.8644838861796590e-02
97 -5.8415133204066572e-01 -5.3232920247303112e-02
98 9.9028828839648753e-01 -1.0595019940118817e-02
99 7.6189986476046301e-01 -4.3553944893210336e-02
100 -7.5247065133304092e-02 -4.8517737102180027e-02
101 -9.2445853359309393e-01 -2.6327409441670405e-02
102 1.7542981338554678e-01 -5.6709201469379140e-02
103 -6.9056393822358386e-01 -4.8177323590711925e-02
104 9.5954014917590646e-01 -1.9755189415207670e-02
105 6.6510941459912121e-01 -4.9566672956198723e-02
106 -2.0887660931437482e-01 -5.7654801299867942e-02
107 -9.6896698805722403e-01 -1.7500880709579312e-02
108 4.3595265719923920e-01 -5.7435515650609142e-02
109 -4.6674993309202201e-01 -5.6807853096312234e-02
110 1.0021999947909317e+00 -1.1830720641740865e-03
111 8.4424001204520260e-01 -3.6445359370536959e-02
112 -8.6237469635905728e-01 -3.4520640231113175e-02
113 1.0854842345362564e-01 -5.2802790730538909e-02
114 -7.3898849755560225e-01 -4.5167758219604934e-02
115 9.3727257096259931e-01 -2.4171829795872572e-02
116 6.1187059069978911e-01 -5.2097965428301182e-02
117 -2.7532328736869793e-01 -5.8547478978448524e-02
118 -9.8435027587083412e-01 -1.2917350773410170e-02
119 3.7289750852706888e-01 -5.8323378524292542e-02
120 -5.2668357073180816e-01 -5.5222335267425170e-02
121 9.9862148293074504e-01 -5.9065832652400608e-03
122 8.0498237594942068e-01 -4.0124030177713335e-02
123 -8.9554680436986478e-01 -3.0516412087405999e-02
124 2.4219974408690223e-01 -5.8235859984974513e-02
125 -6.3886763259336654e-01 -5.0874691260695146e-02
126 9.7724033562406631e-01 -1.5220456028896639e-02
127 7.1520025831925715e-01 -4.6709943661113910e-02
128 -1.4195220429949712e-01 -5.5219212769496408e-02
129 -9.4897111941638268e-01 -2.1979968804936731e-02
130 4.9700644241861408e-01 -5.6068100783274982e-02
131 -4.0465462769751975e-01 -5.7943750316545181e-02
132 -1.0010066809936013e+00 -3.5474604592717154e-03
133 8.7948381309428980e-01 -3.2543250894503703e-02
134 -8.2510156326467710e-01 -3.8314213443819675e-02
135 7.5247065133304092e-02 -4.8517737102180027e-02
136 -7.6189986476046301e-01 -4.3553944893210336e-02
137 9.2445853359309393e-01 -2.6327409441670405e-02
138 5.8415133204066572e-01 -5.3232920247303112e-02
139 -3.0818356222707788e-01 -5.8644838861796590e-02
140 -9.9028828839648753e-01 -1.0595019940118817e-02
141 3.4072501629170465e-01 -5.8562468742323168e-02
142 -5.5574394408970273e-01 -5.4275751587059065e-02
143 9.9504725803710048e-01 -8.2569354440227664e-03
144 7.8390667578926088e-01 -4.1871655108607728e-02
145 -4.1281670590976441e-02 -3.9456398103215141e-02
146 -9.1054437910475783e-01 -2.8443372425322518e-02
147 2.0887660931437482e-01 -5.7654801299867942e-02
148 -6.6510941459912121e-01 -4.9566672956198723e-02
149 9.6896698805722403e-01 -1.7500880709579312e-02
150 6.9056393822358386e-01 -4.8177323590711925e-02
151 -1.7542981338554678e-01 -5.6709201469379140e-02
152 -9.5954014917590646e-01 -1.9755189415207670e-02
153 4.6674993309202201e-01 -5.6807853096312234e-02
154 -4.3595265719923920e-01 -5.7435515650609142e-02
155 -1.0021999947909317e+00 -1.1830720641740865e-03
156 8.6237469635905728e-01 -3.4520640231113175e-02
157 -8.4424001204520260e-01 -3.6445359370536959e-02
158 1.4195220429949712e-01 -5.5219212769496408e-02
159 -7.1520025831925715e-01 -4.6709943661113910e-02
160 9.4897111941638268e-01 -2.1979968804936731e-02
161 6.3886763259336654e-01 -5.0874691260695146e-02
162 -2.4219974408690223e-01 -5.8235859984974513e-02
163 -9.7724033562406631e-01 -1.5220456028896639e-02
164 4.0465462769751975e-01 -5.7943750316545181e-02
165 -4.9700644241861408e-01 -5.6068100783274982e-02
166 1.0010066809936013e+00 -3.5474604592717154e-03
167 8.2510156326467710e-01 -3.8314213443819675e-02
168 -8.7948381309428980e-01 -3.2543250894503703e-02
169 2.7532328736869793e-01 -5.8547478978448524e-02
170 -6.1187059069978911e-01 -5.2097965428301182e-02
171 9.8435027587083412e-01 -1.2917350773410170e-02
172 7.3898849755560225e-01 -4.5167758219604934e-02
173 -1.0854842345362564e-01 -5.2802790730538909e-02
174 -9.3727257096259931e-01 -2.4171829795872572e-02
175 5.2668357073180816e-01 -5.5222335267425170e-02
176 -3.7289750852706888e-01 -5.8323378524292542e-02
177 -9.9862148293074504e-01 -5.9065832652400608e-03
178 8.9554680436986478e-01 -3.0516412087405999e-02
